CHARACTER	DIALOGUE
Andy!	up, dude? you doing?
you going to	a car?
why don't you	a car? can't afford it. you then.
bring a soda.	enjoy your orange. you. Bye-bye. me something don't know. you.
morning.	
morning, Paula.	
me.	have a question. I could probably... can I be of service you?
I was just	these? if I'm photographing as fine as yourself... been lied to I'm late, man. problem. man.
had a weekend.	went to Tijuana, Mexico, know...
we thought	would be fun, you know, go to this show. out one of these shows." a woman fucking a horse.
get there,	you know, we think gonna be awesome... it sounds like would be, man.
think,	woman fucking a horse"... it's...
was really	it to her. for her. We all felt bad for her. of felt bad the horse. what did you get up to? hung out. I was... I went home... egg-salad sandwich. it and I was like: one of those." I got, like, dozen eggs... then I just... three hours... know, the mayonnaise the onions and paprika... the accoutrement. was done... just really didn't feel eating it. I didn't have any bread.
you know,	was pretty good. was a good weekend. it was fine. cool. gotta tell you something. came to the store, I feel confident say to you... Michael McDonald DVD... the store... my brain.
what do you suggest	play? don't care. Anything. and the Beast. Fran Drescher eight hours... Michael McDonald. if I hear Yah Mo B There this place the ground. back on the floor.
	you. throat] beats a plasma. my customer. I came upon her, was unattended. to the checkout there. I went to the back... she requested. it's too late.
transaction	been completed. the commission. of the commission. is crazy. go crying to Paula.
of you poaching	customers. bullshit.
wanna take this	outside? Just take it everybody can see a pussy you have, okay? blade I keep in my boot its sheath... it has spilled blood. are fucking the wrong nigger. fucking turban here? you want a Slurpee? want a Slurpee?" was born in Brooklyn. accent, okay? Okay? down, dude. shift on Friday or what?
about Andy?	
on, man.	need, what, guys... game, right? gonna have to go... party with Jill...
that shit	happening.
	not? a really nice guy and all a nice guy. up, play some cards. I don't wanna up a lampshade... other options.
got any plans	on tonight? Sony truck? getting together, playing some poker... wanna play. would be cool. the store.
we allowed	do that?
	
so I'm gonna	tell Paula. sounds great. Cool, see you guys tonight. right.
	
almost feel guilty.	you don't.
much fucking online poker	night, when I'm not Halo. a fucking ringer, man. you?
fuck you people,	fuck you, you and you... gonna see you tomorrow. right, man. a goat. love that guy. shit, I gotta go. Damn. a little bit. action, huh? it goes.
your girlfriend know	all these visits? Yeah. utterly unspoken this shit. done single thing... literally lubed up...
fuck!	sick, man. is not sick. shit. was sleeping with a woman I'm about to finish... my ass. decide, do I finish do I stop the dog? finished. then I stole the dog. and I would make love... weren't two people... something.
souls were	in this way, can't describe it. was like we were the same heart. come and kill the vibe shit.
man, come on,	wants to that shit. you broke up years ago.
get over it	some point. years, man. worth thinking much about... himself by telling real sex story? don't... You know what, a gentleman I don't... shit ever done.
many stories	running through head right now.
let's go.	so nasty." be like: loved to dirty-talk. be like: what were the titties like? she have, like, know...
little pink	nipples. yeah. like the long Geographic nipples.
